Command,Subcommand,Aliases,Status,API Limitation,Required Parameters,Optional Parameters,API Payload Format,Implementation Details,Notes
navigate,to,"url, goto",Working,None,"checkpoint-id (or session), url, position","--new-tab, --wait","{action: 'NAVIGATE', value: url, meta: {useNewTab: bool}}",CreateStepNavigate,Main navigation command - fully functional
navigate,back,goback,Not Working,API requires URL,"checkpoint-id (or session), position","--steps","{type: 'NAVIGATE_BACK'} or {action: 'NAVIGATE', meta: {kind: 'BACK', steps: N}}","CreateStepNavigateBack (1 step), CreateStepNavigateBackN (N steps)","API rejects both payload formats"
navigate,forward,goforward,Not Working,API requires URL,"checkpoint-id (or session), position","--steps","{type: 'NAVIGATE_FORWARD'} or {action: 'NAVIGATE', meta: {kind: 'FORWARD', steps: N}}","CreateStepNavigateForward (1 step), CreateStepNavigateForwardN (N steps)","API rejects both payload formats"
navigate,refresh,reload,Not Working,API requires URL,"checkpoint-id (or session), position",None,"{type: 'NAVIGATE_REFRESH'}",CreateStepNavigateRefresh,"API rejects refresh without URL"
navigate,scroll-top,top,Working,None,"checkpoint-id (or session), position","--smooth","{action: 'SCROLL', value: '', meta: {type: 'TOP'}}",CreateStepScrollToTop,Scrolls to top of page
navigate,scroll-bottom,bottom,Working,None,"checkpoint-id (or session), position","--smooth","{action: 'SCROLL', value: '', meta: {type: 'BOTTOM'}}",CreateStepScrollBottom,Scrolls to bottom of page
navigate,scroll-element,"element, to-element",Working,None,"checkpoint-id (or session), selector, position","--smooth, --into-view, --block, --inline","{action: 'SCROLL', target: {selectors: [{type: 'GUESS', value: clueJSON}]}}",CreateStepScrollElement,Scrolls element into view with alignment options
navigate,scroll-position,"position, to-position, xy",Working,None,"checkpoint-id (or session), x,y coordinates, position","--smooth, --x, --y","{action: 'SCROLL', value: '', meta: {type: 'POSITION', x: N, y: N}}",CreateStepScrollToPosition,Scrolls to absolute X,Y position
navigate,scroll-by,"by, offset",Working,None,"checkpoint-id (or session), x,y offset, position","--smooth, --x, --y","{action: 'SCROLL', value: '', meta: {type: 'OFFSET', x: N, y: N}}",CreateStepScrollByOffset,Scrolls by relative X,Y offset
navigate,scroll-up,up,Working,None,"checkpoint-id (or session), position","--smooth","{action: 'SCROLL', value: '', meta: {type: 'OFFSET', x: 0, y: -1000}}","Uses CreateStepScrollByOffset with y=-1000",Scrolls up ~1 viewport height
navigate,scroll-down,down,Working,None,"checkpoint-id (or session), position","--smooth","{action: 'SCROLL', value: '', meta: {type: 'OFFSET', x: 0, y: 1000}}","Uses CreateStepScrollByOffset with y=1000",Scrolls down ~1 viewport height
